"id","url","title","rating","user_rated","chapters","views","bookmarked","last_update"
954,https://www.mgeko.cc/manga/gil-dong-the-executor/,Gil Dong: The Executor,"0.0","0","03-eng-li","54 K","355","1 year, 1 month"
955,https://www.mgeko.cc/manga/young-master-please-dont-show-off/,"Young Master, Please don’t show off","4.2","20","96-eng-li","1.4 M","1.9 K","5 days"
956,https://www.mgeko.cc/manga/i-became-a-big-shot-on-the-heavenly-leaderboard/,I Became a Big-Shot on the Heavenly Leaderboard,"3.5","6","30-eng-li","489 K","1.4 K","1 month, 2 weeks"
957,https://www.mgeko.cc/manga/i-rely-on-killing-monsters-to-extend-my-longevity/,I Rely On Killing Monsters To Extend My Longevity,"4.5","2","46-eng-li","340 K","1.0 K","3 months"
958,https://www.mgeko.cc/manga/dglobal-ghost-billions-of-ghosts-inside-me/,"Global Ghost, Billions of Ghosts Inside Me!","3.7","3","60-eng-li","564 K","1.0 K","10 months, 2 weeks"
959,https://www.mgeko.cc/manga/the-unexpectedly-strong-knight-in-the-elf-s-arena/,The Unexpectedly Strong Knight in the Elf’s Arena,"3.0","17","7-eng-li","483 K","2.1 K","2 weeks, 3 days"
960,https://www.mgeko.cc/manga/21st-century-martial-artist/,"21st century martial artist","0.0","0","04-eng-li","175 K","745","1 year, 1 month"
961,https://www.mgeko.cc/manga/guide-to-be-king-of-the-dead/,Guide to be King of the Dead,"0.0","0","6-eng-li","108 K","705","1 year, 1 month"
962,https://www.mgeko.cc/manga/hundreds-of-invincible-strikes/,Hundreds of Invincible Strikes,"0.0","0","8-eng-li","144 K","798","1 year, 1 month"
963,https://www.mgeko.cc/manga/back-from-the-dead-to-build-to-the-strongest-guild-of-all-time/,Back From The Dead To Build To The Strongest Guild Of All Time,"2.7","12","11-5-eng-li","280 K","1.3 K","2 months, 1 week"
964,https://www.mgeko.cc/manga/legendary-blacksmiths-vengeance/,Legendary Blacksmith’s Vengeance,"3.0","15","71-eng-li","2.2 M","3.6 K","7 hours, 2 minutes"
965,https://www.mgeko.cc/manga/warrior-grandpa-and-supreme-granddaughter/,WARRIOR GRANDPA AND SUPREME GRANDDAUGHTER,"4.1","46","68-eng-li","2.0 M","3.3 K","3 days, 6 hours"
966,https://www.mgeko.cc/manga/torima-minshuku-yadori-teki-na/,Torima Minshuku Yadori-teki na!,"5.0","1","7-eng-li","363 K","1.2 K","8 months, 2 weeks"
967,https://www.mgeko.cc/manga/stat-up/,Stat Up,"0.0","0","60-eng-li","1.0 M","2.1 K","11 months"
